Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
House,,,,,,,,54 Aminya Street Mansfield 4122,-27.5393728,153.1006151
House,,,,,,,,58 Aminya Street Mansfield 4122,-27.5393878,153.1008912
House,,,,,,,,34 Arura Street Mansfield 4122,-27.5373137,153.0988668
House,,,,,,,,36 Arura Street Mansfield 4122,-27.5375161,153.0988208
House,,,,,,,,42 Arura Street Mansfield 4122,-27.538048,153.0987288
House,,,,,,,,43 Arura Street Mansfield 4122,-27.5377171,153.0983607
House,,,,,,,,49 Arura Street Mansfield 4122,-27.538197,153.0982227
House,,,,,,,,10 Atrina Street Mansfield 4122,-27.5380465,153.1011672
House,,,,,,,,11 Atrina Street Mansfield 4122,-27.5381108,153.1006611
House,,,,,,,,13 Atrina Street Mansfield 4122,-27.5383323,153.1007071
House,,,,,,,,37 Cresthaven Drive Mansfield 4122,-27.5409781,153.0989588
House,,,,,,,,41 Cresthaven Drive Mansfield 4122,-27.5408412,153.0990225
House,,,,,,,,42 Cresthaven Drive Mansfield 4122,-27.5403929,153.0985908
House,,,,,,,,43 Cresthaven Drive Mansfield 4122,-27.5406158,153.0990509
House,,,,,,,,47 Cresthaven Drive Mansfield 4122,-27.5402439,153.0990969
House,,,,,,,,22 Greenmeadow Road Mansfield 4122,-27.5256897,153.0979789
House,,,,,,,,24 Greenmeadow Road Mansfield 4122,-27.5255623,153.0980932
House,,,,,,,,26 Greenmeadow Road Mansfield 4122,-27.5254901,153.0982687
House,,,,,,,,61 Greenmeadow Road Mansfield 4122,-27.5260293,153.0983626
House,,,,,,,,63 Greenmeadow Road Mansfield 4122,-27.525877,153.0984988
House,,,,,,,,65 Greenmeadow Road Mansfield 4122,-27.5258342,153.0986492
House,,,,,,,,2 Liatoki Street Mansfield 4122,-27.5394662,153.1017487
House,,,,,,,,4 Liatoki Street Mansfield 4122,-27.5394808,153.1019494
House,,,,,,,,1 Lilyvale Street Mansfield 4122,-27.5271295,153.0989401
House,,,,,,,,3 Lilyvale Street Mansfield 4122,-27.5269757,153.0989631
House,,,,,,,,7 Nucella Street Mansfield 4122,-27.5377129,153.099971
House,,,,,,,,8 Nucella Street Mansfield 4122,-27.5377238,153.1004311
House,,,,,,,,9 Nucella Street Mansfield 4122,-27.5378729,153.099925
House,,,,,,,,10 Nucella Street Mansfield 4122,-27.5379686,153.1003851
House,,,,,,,,12 Nucella Street Mansfield 4122,-27.5380862,153.1003391
House,,,,,,,,14 Nucella Street Mansfield 4122,-27.5382885,153.1002931
House,,,,,,,,15 Nucella Street Mansfield 4122,-27.5382448,153.099879
House,,,,,,,,4 Olivella Street Mansfield 4122,-27.5382844,153.09865
House,,,,,,,,14 Olivella Street Mansfield 4122,-27.5384603,153.0998569
House,,,,,,,,21 Olivella Street Mansfield 4122,-27.5390009,153.1006611
House,,,,,,,,24 Olivella Street Mansfield 4122,-27.5386016,153.1009832
House,,,,,,,,25 Olivella Street Mansfield 4122,-27.5390542,153.1011212
House,,,,,,,,22 Hockings Street Holland Park West 4121,-27.5284431,153.0690577
House,,,,,,,,2 Fulton Street Wishart 4122,-27.5649192,153.0886145
House,,,,,,,,12 Fulton Street Wishart 4122,-27.5650537,153.0898034
House,,,,,,,,16 Fulton Street Wishart 4122,-27.5651303,153.0901715
House,,,,,,,,11 Midwood Street Wishart 4122,-27.562388,153.0895001
House,,,,,,,,8 Nev Close Wishart 4122,-27.5499128,153.1061388
House,,,,,,,,19 Shillington Place Wishart 4122,-27.5483354,153.1064123
House,,,,,,,,211 Wishart Road Wishart 4122,-27.5475477,153.0925408
House,,,,,,,,213 Wishart Road Wishart 4122,-27.5475176,153.0927018
House,,,,,,,,215 Wishart Road Wishart 4122,-27.5475559,153.0928859
House,,,,,,,,217 Wishart Road Wishart 4122,-27.5475518,153.0930699
House,,,,,,,,227 Wishart Road Wishart 4122,-27.5476654,153.093921
